id,mood_tag,text,tone,language,safety_flag
1,confused,आप अपना सर्वश्रेष्ठ प्रयास कर रही हैं; समय लें और खुद पर विश्वास रखें।,सहायक,हिन्दी,safe
2,anxious,यह पल गुजर जाएगा; गहरी सांस लें, आपकी भावनाएँ महत्वपूर्ण हैं।,शांत,हिन्दी,safe
3,depressed,आप अकेली नहीं हैं, आपकी पीड़ा मायने रखती है; सुखद दिन आएंगे।,आशावान,हिन्दी,safe
4,stressed,आपने पहले भी मुश्किलें पार की हैं, यह भी संभाल लेंगी।,सहायक,हिन्दी,safe
5,sad,उदासी महसूस करना ठीक है; खुद को आराम और समय दें।,कोमल,हिन्दी,safe
6,happy,अपनी खुशी का जश्न मनाएँ और इसे दूसरों से साझा करें।,प्रोत्साहक,हिन्दी,safe
7,lonely,अकेलापन भी बीत जाएगा; आप बहुत कीमती हैं।,सांत्वना,हिन्दी,safe
8,excited,आपका उत्साह बेहतरीन चीज़ों का संकेत है; हर पल का आनंद लें!,खुश,हिन्दी,safe
9,suicidal,आपका जीवन अनमोल है। कृपया मदद लें; आप अकेली नहीं हैं।,जरूरी,हिन्दी,flag
10,betrayed,आपका विश्वास टूटा है, लेकिन आप फिर से मजबूत बन सकती हैं।,मान्यता,हिन्दी,safe
11,lost,उत्तर न होना ठीक है; रास्ता धीरे-धीरे साफ होगा।,कोमल,हिन्दी,safe
12,angry,आपका गुस्सा सही है; उसे स्वस्थ तरीके से व्यक्त करें।,संतुलित,हिन्दी,safe
13,abandoned,आप प्यार और देखभाल की हकदार हैं, चाहे कोई साथ हो या नहीं।,सहायक,हिन्दी,safe
14,hopeful,आशा को थामे रखें; यही आपको आगे बढ़ाएगी।,प्रोत्साहक,हिन्दी,safe
15,aloof,अपने लिए समय लेना ठीक है; आपकी सीमाएँ मूल्यवान हैं।,स्वीकार्य,हिन्दी,safe
16,nonchalant,आपकी शांति आपको हर परिस्थिति में मदद करेगी।,निरपेक्ष,हिन्दी,safe
17,apprehensive,आप अनिश्चितता का सामना कर रही हैं, यह आपकी साहसिकता है।,प्रोत्साहक,हिन्दी,safe
18,dark,अंधेरे में भी उम्मीद की किरण रहती है।,सहायक,हिन्दी,safe
19,dejected,आप फिर से मजबूती पाएंगी; यह अवस्था अस्थायी है।,कोमल,हिन्दी,safe
20,rejected,अस्वीकृति आपकी कीमत नहीं घटाती; आप मूल्यवान हैं।,मान्यता,हिन्दी,safe
21,gloomy,बादल छंटेंगे और अच्छे पल आएंगे।,आशावान,हिन्दी,safe
22,erratic,अस्थिरता महसूस करना ठीक है; खुद को स्थिर करने का प्रयास करें।,शांत,हिन्दी,safe
23,horny,आपकी इच्छाएँ स्वाभाविक हैं; उन्हें सम्मानपूर्वक स्वीकारें।,निरपेक्ष,हिन्दी,safe
24,fearful,आप सुरक्षित हैं; हर कदम से साहस बढ़ता है।,सहायक,हिन्दी,safe
25,glum,आपकी उदासी समझी जा रही है; खुद को आराम दें।,कोमल,हिन्दी,safe
26,heartbroken,ठीक होने में समय लगता है; आप मजबूत हैं।,सहायक,हिन्दी,safe
27,hostile,आपकी भावनाएँ शक्तिशाली हैं—इन्हें सकारात्मक बदलाव में बदलें।,परिवर्तनकारी,हिन्दी,safe
28,impatient,धैर्य कठिन है लेकिन लाभकारी; धीरे-धीरे प्रगति होगी।,प्रोत्साहक,हिन्दी,safe
29,miserable,दुखी महसूस करना ठीक है; आराम की तलाश करें।,कोमल,हिन्दी,safe
30,jealous,आपकी भावनाएँ सामान्य हैं; अपनी खुशी पर ध्यान दें।,सहायक,हिन्दी,safe
31,possessive,छोड़ना आपको और आपके रिश्तों को मजबूत बनाता है।,प्रोत्साहक,हिन्दी,safe
32,mournful,आपका दुःख पवित्र है; अपनी भावनाओं और यादों का सम्मान करें।,कोमल,हिन्दी,safe
33,nervous,आप कर सकती हैं; हर कदम जीत है।,प्रोत्साहक,हिन्दी,safe
34,overwhelmed,रुकें और सांस लें; एक बार में एक काम करें।,सहायक,हिन्दी,safe
35,ominous,भले ही चीज़ें अस्थिर लगें, आप रास्ता खोज लेंगी।,सहायक,हिन्दी,safe
36,pessimistic,आपका नजरिया मायने रखता है; उम्मीद कहीं भी पनप सकती है।,आशावान,हिन्दी,safe
37,resentful,क्षमाशीलता आपके लिए उपहार है; आप शांति की हकदार हैं।,उपचारात्मक,हिन्दी,safe
38,restless,अपनी ऊर्जा को सकारात्मक दिशा में लगाएँ; गति मदद करती है।,प्रोत्साहक,हिन्दी,safe
39,solemn,आपकी गंभीरता आपकी ताकत है; अपनी भावनाओं का सम्मान करें।,स्वीकार्य,हिन्दी,safe
40,tense,शरीर और मन को आराम दें; आप शांति की हकदार हैं।,शांत,हिन्दी,safe
41,uneasy,आप अपने अनुभव को संभाल सकती हैं; आप मजबूत हैं।,सहायक,हिन्दी,safe
42,unfriendly,खुद के साथ दयालुता से पेश आएं; दूसरों को भी जगह दें।,कोमल,हिन्दी,safe
43,unstable,आप अकेली नहीं हैं; स्थिरता के लिए सहायता उपलब्ध है।,सहायक,हिन्दी,safe
44,unsteady,धीरे-धीरे कदम बढ़ाएँ; आप फिर से संतुलन पाएंगी।,सहायक,हिन्दी,safe
45,wretched,कोई भी भावना स्थायी नहीं है; आप बहुत मजबूत हैं।,आशावान,हिन्दी,safe
46,defensive,आपकी सीमाएँ सही हैं; अपनी शांति की रक्षा करें।,सत्यापन,हिन्दी,safe
47,nostalgic,आपकी यादें कीमती हैं; उन्हें सम्मान दें और आगे बढ़ें।,चिंतनशील,हिन्दी,safe
48,perky,आपकी ऊर्जा दूसरों को प्रेरित करती है; अपनी चंचलता का जश्न मनाएँ।,प्रोत्साहक,हिन्दी,safe
49,playful,अपनी मस्ती का आनंद लें; हँसी औषधि है।,खुश,हिन्दी,safe
50,light-hearted,आपका हल्का मूड हर दिन को खास बना देता है।,प्रोत्साहक,हिन्दी,safe
51,fun,छोटी-छोटी खुशियों में आनंद लें; जीवन का मज़ा जरूरी है।,खुश,हिन्दी,safe
52,cheerful,आपकी मुस्कान दुनिया के लिए उपहार है।,प्रोत्साहक,हिन्दी,safe
53,passionate,आपका जोश आपको सपनों तक ले जाएगा।,प्रोत्साहक,हिन्दी,safe
54,peaceful,अपनी शांति को गले लगाएँ; आप सुरक्षित हैं।,शांत,हिन्दी,safe
55,reflective,आपकी आत्मचेतना आपको आगे बढ़ाएगी।,चिंतनशील,हिन्दी,safe
56,shy,आपकी शांत शक्ति सुंदर है; आप पर्याप्त हैं।,कोमल,हिन्दी,safe
57,sentimental,अपनी भावनाओं का सम्मान करें; वे आपकी कहानी हैं।,चिंतनशील,हिन्दी,safe
58,strange,आप जैसे हैं वैसे ही अद्भुत हैं।,सत्यापन,हिन्दी,safe
59,weird,आपकी अलगियत आपकी ताकत है; उसे अपनाएँ!,प्रोत्साहक,हिन्दी,safe
60,unknown,अभी न जानना ठीक है; स्पष्टता आएगी।,कोमल,हिन्दी,safe
61,unaffected,आपकी शांति खुद और दूसरों के लिए प्रेरणा है।,निरपेक्ष,हिन्दी,safe
62,vivacious,आपकी ज़िंदादिली दूसरों को प्रेरित करती है।,प्रोत्साहक,हिन्दी,safe
63,regretful,पछतावा छोड़ें; आप नए सिरे से शुरू कर सकती हैं।,उपचारात्मक,हिन्दी,safe
64,guilty,खुद को माफ करें; आप दया की हकदार हैं।,कोमल,हिन्दी,safe
65,scared,आप सुरक्षित हैं; साहस समय के साथ बढ़ता है।,सहायक,हिन्दी,safe
66,sorrowful,आपका दुःख सम्मानित है; उपचार संभव है।,कोमल,हिन्दी,safe
67,laid-back,अपनी शांति का आनंद लें; आप तनावमुक्त हैं।,शांत,हिन्दी,safe
68,unmotivated,छोटे कदम भी मायने रखते हैं; प्रेरणा लौटेगी।,प्रोत्साहक,हिन्दी,safe
69,motivated,आपका उत्साह आपको मंजिल तक पहुँचाएगा।,सहायक,हिन्दी,safe
