id,example_text,mood_label,notes
1,मुझे उलझन महसूस हो रही है,confused,जब विचार या निर्णय स्पष्ट न हों।
2,मुझे चिंता हो रही है,anxious,चिंता या घबराहट का अनुभव।
3,मैं उदास महसूस कर रही हूँ,depressed,लगातार दुखी या निराश महसूस करना।
4,मैं तनाव में हूँ,stressed,अत्यधिक दबाव या थकावट।
5,मुझे दुःख हो रहा है,sad,दुखी या उदास महसूस करना।
6,मैं खुश हूँ,happy,आनंद या संतुष्टि का अनुभव।
7,मैं अकेली महसूस कर रही हूँ,lonely,अकेलापन या समर्थन की कमी।
8,मैं उत्साहित हूँ,excited,उत्साह या सकारात्मक उम्मीद।
9,मुझे जीवन का कोई अर्थ नहीं लग रहा है,suicidal,जीवन समाप्त करने के विचार।
10,मुझे धोखा महसूस हुआ है,betrayed,विश्वासघात का अनुभव।
11,मैं खो गई हूँ,lost,दिशा या उद्देश्य की अनिश्चितता।
12,मुझे गुस्सा आ रहा है,angry,चिड़चिड़ाहट या नाराज़गी।
13,मुझे छोड़ दिया गया है,abandoned,अकेला या उपेक्षित महसूस करना।
14,मुझे आशा है,hopeful,भविष्य के लिए आशावान।
15,मैं अलग-थलग महसूस कर रही हूँ,aloof,दूसरों से दूरी बनाना।
16,मुझे कोई फर्क नहीं पड़ता,nonchalant,उदासीन या निरपेक्ष।
17,मुझे आशंका हो रही है,apprehensive,भविष्य को लेकर डर या असहजता।
18,मेरा मन भारी है,dark,नकारात्मक या भारी विचार।
19,मैं निराश हूँ,dejected,हिम्मत हारना।
20,मुझे अस्वीकार किया गया है,rejected,अस्वीकृति या उपेक्षा।
21,मेरा मूड उदास है,gloomy,मंद या निराशाजनक।
22,मेरा व्यवहार अस्थिर है,erratic,अनियमित या असंगत।
23,मुझे कामुकता महसूस हो रही है,horny,यौन इच्छा का अनुभव।
24,मुझे डर लग रहा है,fearful,भय या डर।
25,मैं दुखी हूँ,glum,निराश या उदास।
26,मेरा दिल टूट गया है,heartbroken,भावनात्मक दर्द।
27,मुझे शत्रुता महसूस हो रही है,hostile,आक्रोश या विरोध।
28,मुझे सब्र नहीं हो रहा है,impatient,धैर्य की कमी।
29,मैं दुखी हूँ,miserable,अत्यधिक दुख।
30,मुझे ईर्ष्या हो रही है,jealous,ईर्ष्या या जलन।
31,मैं अधिकार जताना चाहती हूँ,possessive,नियंत्रण की भावना।
32,मैं शोकाकुल हूँ,mournful,शोक या दुःख।
33,मुझे घबराहट है,nervous,चिंतित या तनावग्रस्त।
34,मैं अभिभूत हूँ,overwhelmed,सब कुछ अधिक लगना।
35,मुझे अनहोनी का डर है,ominous,असुरक्षा का अनुभव।
36,मैं नकारात्मक सोच रही हूँ,pessimistic,नकारात्मक भविष्यवाणी।
37,मुझे रोष है,resentful,किसी के प्रति नाराजगी।
38,मुझे बेचैनी है,restless,आराम न मिलना।
39,मेरा मूड गंभीर है,solemn,गंभीर या विचारशील।
40,मुझे तनाव महसूस हो रहा है,tense,तनाव या दबाव।
41,मुझे असहजता है,uneasy,असहज या अनिश्चितता।
42,मैं अनमित्र हूँ,unfriendly,दूसरों से दूरी।
43,मैं अस्थिर हूँ,unstable,भावनात्मक अस्थिरता।
44,मैं डोल रही हूँ,unsteady,अस्थिरता या अनिश्चितता।
45,मैं अत्यंत दुखी हूँ,wretched,अत्यधिक पीड़ा।
